               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.022022,           0.0087761,                   0,             0.99319,             0.99319,              0.9948,             0.78848,            0.020905,           0.0034081,                   0,             0.00877,             0.00877,             0.00877
                  84,            0.021893,           0.0088197,                   0,             0.99251,              0.9925,             0.99478,             0.78824,            0.020909,           0.0034069,                   0,            0.008755,            0.008755,            0.008755
                  85,            0.021779,           0.0087786,                   0,              0.9925,             0.99114,             0.99474,             0.78903,            0.020899,           0.0034066,                   0,             0.00874,             0.00874,             0.00874
                  86,            0.021812,           0.0087252,                   0,             0.99386,              0.9925,             0.99472,             0.78931,            0.020925,            0.003406,                   0,            0.008725,            0.008725,            0.008725
                  87,            0.021887,           0.0086879,                   0,             0.99454,             0.99315,             0.99473,             0.78903,            0.021017,           0.0033914,                   0,             0.00871,             0.00871,             0.00871
                  88,            0.021767,           0.0087322,                   0,             0.99522,             0.99387,              0.9947,             0.78845,            0.021057,           0.0033861,                   0,            0.008695,            0.008695,            0.008695
                  89,            0.021629,           0.0088051,                   0,             0.99658,             0.99386,             0.99479,             0.78823,            0.021028,           0.0033823,                   0,             0.00868,             0.00868,             0.00868
                  90,            0.021672,            0.008766,                   0,             0.99455,             0.99455,             0.99481,             0.78834,            0.021059,           0.0033902,                   0,            0.008665,            0.008665,            0.008665
                  91,            0.021661,           0.0087602,                   0,              0.9959,             0.99319,             0.99483,             0.78843,            0.021062,           0.0033935,                   0,             0.00865,             0.00865,             0.00865
                  92,            0.021604,           0.0087702,                   0,             0.99589,             0.99251,             0.99471,             0.78757,            0.021043,           0.0033966,                   0,            0.008635,            0.008635,            0.008635
                  93,            0.021615,            0.008707,                   0,             0.99589,             0.99251,             0.99472,             0.78767,            0.021009,           0.0034011,                   0,             0.00862,             0.00862,             0.00862
                  94,            0.021553,           0.0087683,                   0,              0.9959,             0.99251,             0.99467,             0.78694,            0.021029,           0.0034042,                   0,            0.008605,            0.008605,            0.008605
                  95,            0.021707,           0.0087186,                   0,              0.9959,             0.99251,             0.99467,             0.78814,            0.021052,           0.0034035,                   0,             0.00859,             0.00859,             0.00859
                  96,            0.021465,            0.008679,                   0,              0.9959,             0.99251,             0.99468,             0.78899,            0.021044,           0.0034016,                   0,            0.008575,            0.008575,            0.008575
                  97,            0.021475,           0.0086768,                   0,              0.9959,             0.99251,             0.99469,             0.78812,            0.021048,           0.0034041,                   0,             0.00856,             0.00856,             0.00856
                  98,            0.021518,           0.0087412,                   0,             0.99726,             0.99112,             0.99471,             0.78822,            0.021067,           0.0034078,                   0,            0.008545,            0.008545,            0.008545
                  99,            0.021401,           0.0086467,                   0,             0.99791,             0.99183,             0.99481,             0.78854,            0.021077,           0.0034057,                   0,             0.00853,             0.00853,             0.00853
                 100,            0.021548,           0.0087685,                   0,             0.99726,             0.99182,              0.9948,             0.78728,            0.021114,           0.0034111,                   0,            0.008515,            0.008515,            0.008515
                 101,            0.021368,           0.0086306,                   0,             0.99726,             0.99183,             0.99479,             0.78815,            0.021135,           0.0034145,                   0,              0.0085,              0.0085,              0.0085
                 102,            0.021293,           0.0086447,                   0,             0.99794,             0.99183,             0.99481,             0.78814,            0.021159,           0.0034185,                   0,            0.008485,            0.008485,            0.008485
